번호,시도,시군구,골프장명,운영사,소재지주소,홀수,구분,전화,홈페이지,세그먼트,비고
171,강원,원주시,성문안 컨트리클럽,에이치디씨리조트주식회사,원주시 지정면 월송석화로 431,18,비회원제,1588-7676,http://seongmunan.com/,,
172,강원,원주시,센추리21컨트리클럽,센추리개발㈜,원주시 문막읍 궁말길 193,18,회원제,033-733-1000,https://www.century21cc.co.kr/,,
173,강원,원주시,센추리21컨트리클럽Ⅱ,센추리개발㈜,원주시 문막읍 궁말길 193,18,대중제,033-733-1000,https://www.century21cc.co.kr/,,
174,강원,원주시,센추리21퍼블릭,센추리개발㈜,원주시 문막읍 궁말길 193,9,대중제,033-733-1000,https://www.century21cc.co.kr/,,
175,강원,원주시,오로라 골프 앤 리조트,㈜구학파크랜드,원주시 신림면 구학산로 1520,18,대중제,033-810-8800,https://auroragolfnresort.co.kr/,,
176,강원,원주시,오크밸리회원제골프장,에이치디씨리조트주식회사,원주시 지정면 오크밸리1길 66,36,회원제,1588-7676,https://oakvalley.co.kr/,,
177,강원,원주시,월송리 컨트리클럽,에이치디씨리조트주식회사,원주시 지정면 오크밸리2길 250,18,대중제,1588-7676,https://oakvalley.co.kr/,,
178,강원,원주시,인터불고원주골프클럽,㈜호텔인터불고 원주,원주시 동부순환로 200(반곡동),9,비회원제,033-769-8280,https://ibgolfclub.com/,,
179,강원,원주시,파크밸리골프클럽,강원레저개발㈜,원주시 소초면 바우실길 281,18,대중제,033-744-4000,https://www.parkvalley.co.kr/,,
180,강원,정선군,에콜리안정선골프장,정선군국민체육진흥공단,정선군 신동읍 새골길 112-49,9,대중제,033-378-7514,http://js.ecolian.or.kr/,,
181,강원,정선군,하이원컨트리클럽,㈜강원랜드,정선군 고한읍 고한7길 399,18,대중제,033-590-7300,https://www.high1.com/golf/index.do,,
182,강원,철원군,한탄강컨트리클럽,㈜귀뚜라미랜드,철원군 갈말읍 순담길 59,18,대중제,033-455-1234,,,
183,강원,춘천시,남춘천컨트리클럽,㈜엠디아이레저개발,춘천시 신동면 오봉길 156,18,대중제,033-269-3000,https://www.namchuncheon.co.kr/,,
184,강원,춘천시,더플레이어스 골프클럽,주식회사 플레이어스골프클럽,춘천시 동산면 새술막길 438,27,대중제,033-250-5000,https://www.clubd.com/theplayers/index.do,,
185,강원,춘천시,라데나골프클럽,두산큐벡스㈜,춘천시 신동면 칠전동길 72,27,회원제,033-260-1114,https://www.ladena.co.kr/,,
186,강원,춘천시,라비에벨컨트리클럽,코오롱글로벌㈜ (김정일)그린나래㈜,춘천시 동산면 종자리로 436,36,대중제,033-245-7100,http://www.lavieestbellegolfnresort.com/,,
187,강원,춘천시,로드힐스골프클럽,신영종합개발㈜,춘천시 동산면 종자리로 148-16,27,대중제,033-269-8888,https://lordhills.co.kr/,,
188,강원,춘천시,베어크리크 춘천,삼보개발(주),춘천시 신동면 김유정로 730,18,대중제,1899-0115,https://bearcreek.co.kr/AboutChuncheon/ClubInfo.aspx,,
189,강원,춘천시,스프링베일리조트,㈜춘천골프아카데미,춘천시 동면 금베이길 93-27,9,대중제,033-254-7900,http://www.springvale.co.kr/,,
190,강원,춘천시,엘리시안 강촌컨트리클럽,지에스건설㈜,춘천시 남산면 북한강변길 688,27,회원제,1588-2299,https://www.elysian.co.kr/,,
191,강원,춘천시,오너스골프클럽,강촌칼론골프클럽㈜,춘천시 남산면 동촌로 667,18,대중제,033-260-1900,https://www.ownersgc.co.kr/,,
192,강원,춘천시,제이드팰리스 골프클럽,한화솔루션㈜,춘천시 남산면 경춘로 212-30,18,회원제,033-260-8000,https://www.jadepalacegc.com/,,
193,강원,춘천시,파가니카컨트리클럽,㈜레저플러스,춘천시 남면 소주고개로 145-10,18,대중제,033-261-6556,https://paganica.kmhleisure.com/,,
194,강원,춘천시,휘슬링락컨트리클럽,㈜티시스,춘천시 남산면 동촌로 501,27,회원제,033-269-2101,https://www.whistlingrockcc.com/Ko/,,
195,강원,태백시,O2리조트 골프장,㈜오투리조트,태백시 서학로 861,18,대중제,033-580-7777,https://www.o2resort.com/GLF/ccGuide.jsp,,
196,강원,태백시,O2리조트 퍼블릭골프장,㈜오투리조트,태백시 서학로 861,9,대중제,033-580-7777,https://www.o2resort.com/GLF/ccGuide.jsp,,
197,강원,평창군,알펜시아 700골프클럽,㈜레저플러스,평창군 대관령면 솔봉로 325,18,대중제,033-339-3300,https://www.alpensia.com/golf/main.do,,
198,강원,평창군,알펜시아컨트리클럽,㈜레저플러스,평창군 대관령면 솔봉로 325,27,회원제,033-339-3300,https://www.alpensia.com/golf/main.do,,
199,강원,평창군,용평리조트골프클럽,모나용평㈜,평창군 대관령면 올림픽로 715,18,회원제,1522-3111,https://www.yongpyong.co.kr/kor/golf/appointment/appointmentInfo.do,,
200,강원,평창군,용평리조트대중골프장,모나용평㈜,평창군 대관령면 올림픽로 715,9,대중제,1522-3111,https://www.yongpyong.co.kr/kor/golf/appointment/appointmentInfo.do,,
201,강원,평창군,용평버치힐골프클럽,모나용평㈜,평창군 대관령면 올림픽로 715,18,회원제,1522-3111,https://www.yongpyong.co.kr/kor/golf/clubGuide/birchhillIntro.do,,
202,강원,평창군,휘닉스 컨트리클럽,㈜휘닉스중앙,평창군 봉평면 태기로 227-84,18,회원제,1577-0755,https://phoenixhnr.co.kr,,
203,강원,평창군,휘닉스대중골프장,㈜휘닉스중앙,평창군 봉평면 태기로 227-84,6,대중제,1577-0755,https://phoenixhnr.co.kr,,
204,강원,홍천군,비콘힐스골프클럽,우신물산㈜,홍천군 홍천읍 높은터로 533,18,대중제,033-439-5000,https://www.beaconhills.co.kr/,,
205,강원,홍천군,샤인데일골프&리조트,세안레져산업㈜,홍천군 서면 한서로 247-156,27,대중제,033-430-1000,https://www.shinedale.com/,,
206,강원,홍천군,세이지우드CC홍천,와이케이디벨롭먼트㈜,홍천군 두촌면 광석로 898-160,27,비회원제,033-439-1000,https://www.sagewood.co.kr/hongcheon/main,,
207,강원,홍천군,소노펠리체 컨트리클럽 비발디파크 마운틴,㈜소노인터내셔널,홍천군 서면 한치골길 264,9,대중제,1644-0063,https://www.sonofelicecc.com/,,
208,강원,홍천군,소노펠리체 컨트리클럽 비발디파크 웨스트,㈜소노인터내셔널,홍천군 서면 한치골길 200,18,대중제,1644-0063,https://www.sonofelicecc.com/,,
209,강원,홍천군,소노펠리체 컨트리클럽 비발디파크 이스트,㈜소노인터내셔널,홍천군 서면 한치골길 541-123,18,대중제,1644-0063,https://www.sonofelicecc.com/,,
210,강원,홍천군,카스카디아 골프클럽,㈜유니골프앤리조트,홍천군 북방면 팔봉산로 1759,27,비회원제,033-430-0000,https://cascadia.kr/,,
211,강원,홍천군,클럽모우골프 &라이프스타일,㈜와이에이치레저개발,홍천군 서면 장락동길 111,27,대중제,033-439-9000,https://www.clubmow.com/,,
212,강원,홍천군,힐드로사이컨트리클럽,㈜이지아이아이앤디,홍천군 남면 한서로 2840,18,대중제,033-439-3300,https://www.hilldeloci.co.kr/,,
213,강원,횡성군,동원썬밸리컨트리클럽,성운개발㈜,횡성군 서원면 서원서로339번길 90,18,대중제,033-344-5308,https://www.sunvalley.co.kr/dongwon/golf/intro,,
214,강원,횡성군,벨라45 오너스 컨트리클럽,㈜벨라비손,횡성군 서원면 창촌리 산132,18,회원제,1551-2745,https://www.bella45.com/,,
215,강원,횡성군,벨라45마스터스 컨트리클럽,㈜섬강레저,횡성군 서원면 창촌리 산124,27,대중제,1551-2745,https://www.bella45.com/masters/swp/location,,
216,강원,횡성군,벨라스톤컨트리클럽,(주)진원,횡성군 서원면 옥계9길 124,18,대중제,033-340-9000,https://www.bellastonecc.com/,,
217,강원,횡성군,알프스대영컨트리클럽,삼대양레저㈜,횡성군 우천면 한우로 1295,18,대중제,033-340-8000,https://www.alpsdy.com/main/,,
218,강원,횡성군,올데이 옥스필드,주식회사 에스엘세레스,횡성군 서원면 경강로 유현6길 28,18,대중제,033-340-7700,https://www.alldayresort.com/club/club_ox.asp,,
219,강원,횡성군,웰리힐리컨트리클럽,신안종합리조트㈜,횡성군 둔내면 고원로 451,36,회원제,1544-8833,https://www.wellihillipark.com/,,
220,강원,횡성군,웰리힐리퍼블릭,신안종합리조트㈜,횡성군 둔내면 고원로 451,10,비회원제,1544-8833,https://www.wellihillipark.com/,,
221,경북,경산시,대구C.C,경산개발㈜ 우승수,경상북도 경산시 진량읍 일연로 718-42,27,회원제,053-854-0002,https://www.daegucc.co.kr/,,
222,경북,경산시,인터불고컨트리클럽,인터불고컨트리클럽㈜ 최만수,경상북도 경산시 삼성현로 614-26,27,회원제,070-8797-7885,https://www.interburgocc.com/,,
223,경북,경주시,가든골프클럽,㈜코오롱글로텍 김영범,경상북도 경주시 불국로 289-17,9,대중제,054-746-7900,https://kolongolf.com/swp/club,,
224,경북,경주시,경주C.C,보문개발㈜ 박흥국,경상북도 경주시 보문로 182-98,27,대중제,054-778-8900,https://www.kyongjugolf.co.kr/,,
225,경북,경주시,경주신라C.C,㈜경주신라CC 박태일,경상북도 경주시 보문로 319,36,회원제,054-740-7114,https://sillacc.co.kr/,,
226,경북,경주시,골프존카운티 감포,㈜지씨감포 서상현,경상북도 경주시 감포읍 동해안로 1819-59,18,대중제,054-777-9000,http://www.golfzoncounty.com/gampo/main,,
227,경북,경주시,디아너스C.C,㈜강동씨앤엘 구희택 강대완,경상북도 경주시 보불로 391,27,회원제,054-776-9889,https://gj.kangdongcnl.com/,,
228,경북,경주시,마우나오션C.C,㈜엠오디 장재혁,경상북도 경주시 양남면 동남로 982,18,회원제,054-740-0678,https://www.mauna.co.kr,,
229,경북,경주시,마우나오션블루,㈜엠오디 장재혁,경상북도 경주시 양남면 동남로 982,9,대중제,054-740-0678,https://www.mauna.co.kr,,
230,경북,경주시,보문G.C,경북문화관광공사 김남일,경상북도 경주시 보문로 182-14,18,대중제,054-745-1680,https://golf.gtc.co.kr/,,
231,경북,경주시,서라벌G.C,㈜서라벌 김광세,경상북도 경주시 외동읍 내외로 577-189,36,대중제,054-773-7000,https://www.seorabolgc.com/index,,
232,경북,경주시,서라벌G.C,㈜디아너스 이명숙,경상북도 경주시 외동읍 내외로 577-189,9,대중제,054-773-7000,https://www.seorabolgc.com/index,,
233,경북,경주시,선리치G.C,㈜월성종합개발 이상걸,경상북도 경주시 안강읍 검단장골길 181-17,9,대중제,054-777-3333,https://www.sunrichgc.com/,,
234,경북,경주시,안강레전드G.C,옥산개발㈜ 허상호 김태열,경상북도 경주시 안강읍 낙산길 85,9,대중제,054-760-0707,https://www.legendgolf.co.kr/,,
235,경북,경주시,우리G.C,㈜퍼블릭개발 조영래,경상북도 경주시 양남면 동남로 972,9,대중제,054-740-0800,https://www.urigolfclub.co.kr/,,
236,경북,경주시,이스트힐C.C,㈜청학씨앤디 성세연,경상북도 경주시 양남면 외남로 1377,18,대중제,054-775-1700,,,
237,경북,경주시,힐스카이C.C,㈜힐스카이 고진호,경상북도 경주시 천북면 천강로 412-299,24,대중제,1811-0770,https://www.hillskycc.com/,,
238,경북,고령군,다산 샤인힐CC,두강건설㈜ 이정익,경상북도 고령군 다산면 벌지로 175-115,18,대중제,,,,
239,경북,고령군,대가야CC,㈜흥진레저 심병재,경상북도 고령군 대가야읍 대가야로 1103,9,대중제,054-956-0009,https://www.daegayacc.com/,,
240,경북,고령군,마스터피스CC,㈜누가개발 김인자,경상북도 고령군 쌍림면 산막길 47-80,18,대중제,054-955-7575,https://www.masterpiecegc.com/,,
241,경북,고령군,유니밸리C.C,고령컨트리클럽㈜ 정성운,경상북도 고령군 고령읍 일량로 588,9,대중제,054-956-7575,http://www.univalley.co.kr/,,
242,경북,구미시,골프존카운티 구미,㈜지씨구미 서상현,경상북도 구미시 산동면 강동로 953-74,18,대중제,054-473-8161,https://www.golfzoncounty.com/golfclub/main?golfclubSeq=50,,
243,경북,구미시,골프존카운티 선산,㈜지씨선산 서상현,경상북도 구미시 산동면 강동로 953-73,18,회원제,054-473-6200,https://sunsan.golfzoncounty.com/,,
244,경북,구미시,구미C.C,신구미개발㈜ 박병웅,경상북도 구미시 장천면 송백로 229,27,대중제,054-470-6800,https://www.gumicc.com/,,
245,경북,김천시,애플밸리C.C,에스엠하이플러스㈜ 우기원,경상북도 김천시 어모면 작점로 606,9,대중제,054-429-0700,http://applevalley.co.kr/,,
246,경북,김천시,포도C.C,㈜다옴 이세홍,경상북도 김천시 구성면 남김천대로 2532,27,대중제,054-420-0200,https://www.podocc.com/,,
247,경북,문경시,문경레저타운골프장,㈜문경레저타운 정광호,경상북도 문경시 마성면 문경골프장길 240,18,대중제,054-550-5000,https://www.mgle.co.kr/,,
248,경북,상주시,뉴스프링빌Ⅱ,㈜동승레저 김용식 홍건표,경상북도 상주시 모서면 백화로 40,18,대중제,054-450-2800,https://sangju.newspring.co.kr/,,
249,경북,상주시,블루원상주골프리조트,㈜블루원 윤재연,경상북도 상주시 모서면 화현3길 127,18,대중제,1899-1888,https://sj.blueone.com/,,
250,경북,안동시,남안동C.C,디아이개발㈜ 박춘영,경상북도 안동시 일직면 풍일로 1887,18,회원제,054-850-2800,http://www.namandongcc.com/,,
251,경북,안동시,안동레이크골프클럽,경북문화관광공사 김남일,경상북도 안동시 관광단지로 316,18,대중제,054-821-9191,https://hugreen.gtc.co.kr/,,
252,경북,안동시,안동리버힐C.C,오이코스산업㈜ 이옥춘,경상북도 안동시 풍천면 풍일로 1572,18,회원제,054-843-0000,http://www.xn--2q1bm4ioscnwnx4w.com/,,
253,경북,영덕군,오션비치C.C,㈜오션비치 박재선,경상북도 영덕군 강구면 동해대로 4265-43,27,대중제,054-730-9000,https://www.oceanbeachcc.com/,,
254,경북,영천시,시엘G.C,㈜금호개발 김도윤,경상북도 영천시 청통면 청통로 334-41,9,대중제,054-336-7200,https://www.cielgolf.com/,,
255,경북,영천시,영천C.C,임고개발㈜ 이승도,경상북도 영천시 임고면 방목길 34-2,27,회원제,054-330-9000,https://www.oceanhills.com/pagesite/yeongcheon/,,
256,경북,영천시,오펠G.C,부성개발㈜ 구성식,경상북도 영천시 고경면 호국로 1221-24,27,회원제,054-333-2100,https://www.ophelgc.com/_YeongCheon/,,
257,경북,영천시,청통골프장,㈜골프존카운티영천 서상현㈜골프존카운티 서상현,경상북도 영천시 청통면 청통로 733,18,대중제,054-339-8000,http://www.golfzoncounty.com/cheongtong,,
258,경북,예천군,한맥C.C&노블리아,한맥개발㈜ 임기주,경상북도 예천군 호명면 한맥골프장길 72,18,대중제,054-650-7000,https://www.hmcn.co.kr/,,
259,경북,울진군,마린CC,울진군수,경상북도 울진군 매화면 매화로 115-99,18,대중제,054-781-0000,https://www.marinecc.co.kr/,,
260,경북,의성군,엠스클럽의성,㈜바이오컨트리클럽 이하수 민병소,경상북도 의성군 봉양면 농공마전길 125-78,18,대중제,054-830-3300,https://www.msclub.co.kr/,,
261,경북,의성군,엠스클럽의성,대지개발㈜ 문병동,경상북도 의성군 봉양면 농공마전길 125-78,9,대중제,054-830-3300,https://www.msclub.co.kr/,,
262,경북,의성군,파라지오C.C,㈜파라지오 최정헌 정영권,경상북도 의성군 봉양면 농공마전길 167,18,대중제,054-833-6200,https://www.paragio.co.kr/,,
263,경북,청도군,그레이스C.C,㈜태왕아너스 이명숙,경상북도 청도군 이서면 서녁길 91,27,대중제,054-370-3000,http://www.grace-cc.co.kr/,,
264,경북,청도군,오션힐스청도G.C,유창개발㈜ 이승도,경상북도 청도군 매전면 곰티로 370-204,18,대중제,054-373-5600,https://www.oceanhills.com/index_cheongdo.asp,,
265,경북,청도군,펜타뷰골프클럽,아리유㈜ 이건순,경상북도 청도군 금천면 금천로 709,9,대중제,1644-8053,https://www.pentaview.co.kr/,,
266,경북,칠곡군,마이다스 구미 골프아카데미,㈜대교디앤에스 최득희,경상북도 칠곡군 가산면 학하2길 54-171,9,대중제,054-970-3700,https://www.gasancc.com/,,
267,경북,칠곡군,세븐밸리C.C,㈜세븐밸리제이씨 강기백,경상북도 칠곡군 왜관읍 봉계3길 180,18,대중제,054-979-1000,https://www.sevenvalley.co.kr/,,
268,경북,칠곡군,칠곡아이위시C.C,㈜동화레져 문종혁,경상북도 칠곡군 기산면 노석1길 49-112,9,대중제,054-970-9700,https://www.iwishcc.com/,,
269,경북,칠곡군,파미힐스C.C,㈜한길 황광재 임충서으 김형일,경상북도 칠곡군 왜관읍 봉계로 263,36,회원제,054-971-9900,http://www.palmyhillscc.co.kr,,
270,경북,포항시,오션힐스포항C.C,오션힐스골프앤리조트㈜ 이승도,경상북도 포항시 북구 송라면 대전길 7,18,회원제,054-262-9988,https://www.oceanhills.com/,,
271,경북,포항시,오션힐스포항C.C,오션힐스골프앤리조트㈜ 이승도,경상북도 포항시 북구 송라면 대전길 7,9,대중제,054-262-9988,https://www.oceanhills.com/,,
272,경북,포항시,청하이스턴C.C,㈜이스턴 이일선,경상북도 포항시 청하면 용산길 94,9,대중제,054-253-0070,https://easterncc.co.kr/,,
273,경북,포항시,포항C.C,㈜홍익레저산업 김청룡,경상북도 포항시 송라면 동해대로 2751번길 123,18,대중제,054-230-2000,https://www.pohangcc.com/,,
274,전남,영광군,에콜리안영광골프장,영광군수,영광군 영광읍 월현로 1길 40,9,대중제,1800-9399,https://www.ecolian.or.kr/,,
275,전남,영광군,웨스트오션CC,대호관광개발㈜,영광군 백수읍 해안로 1362-70,18,대중제,061-350-2000,https://www.westoceancc.co.kr/,,
276,전남,영암군,cosmos 1,㈜파크카운티,영암군 삼호읍 에프원로 121-4,18,대중제,061-818-4000,https://www.cosmoslinks.kr/,,
277,전남,영암군,골프존카운티 영암,㈜썬카운티㈜콜프존카운티,영암군 삼호읍 에프원로 121-1,45,대중제,061-460-6000,https://golfzoncounty.com/golfclub/main?golfclubSeq=59,,
278,전남,장흥군,JNJ골프리조트,정남진골프리조트㈜,장흥군 장평면 제산기동로 326,27,대중제,061-860-9000,https://www.jnjgolfresort.co.kr/,,
279,전남,전남,골드레이크CC,임대형,전남 나주시 남평읍 나주호로 442-129,18,대중제,061-339-3000,https://www.goldlake.co.kr/,,
280,전남,전남,골드레이크CC,임대형,전남 나주시 남평읍 나주호로 442-129,18,회원제,061-339-3000,https://www.goldlake.co.kr/,,
281,전남,전남,골프존카운티,서상현,전남 순천시 주암면 행정1길 77,36,대중제,061-729-8888,https://golfzoncounty.com/golfclub/main?golfclubSeq=57,,
282,전남,전남,광양CC,반재경,전남 광양시 가야로 223,6,대중제,061-817-0707,http://www.gygc.kr,,
283,전남,전남,광주CC,고혁주 이영,전남 곡성군 옥과면 입면로 455,27,회원제,061-339-7100,https://www.kjcc.co.kr/,,
284,전남,전남,나주CC,김천종,전남 나주시 공산면 상방신포길 154-32,9,대중제,061-335-7722,http://najucc.com/,,
285,전남,전남,나주힐스CC,김태식,전남 나주시 공산면 삼방신포길 160-27,9,대중제,061-337-5700,https://najuhills.com/,,
286,전남,전남,다산베아채골프&리조트,이애자,전남 강진군 도암면 학장용산길 101,27,대중제,061-430-9999,https://www.beachegolf.com/,,
287,전남,전남,디오션CC,김종관,전남 여수시 화양면 안포리 1917,18,대중제,061-689-0400,https://theoceanresort.co.kr/,,
288,전남,전남,레이나CC,차성만,전남 담양군 담양읍 깊은실길 169,18,대중제,061-380-7500,https://www.reinacc.co.kr/,,
289,전남,전남,르오네뜨CC,김양석,전남 곡성군 오산면 오산로 819-126,9,대중제,061-362-2500,https://www.lehonnetecc.com/,,
290,전남,전남,무등산CC,박만주,전남 화순군 화순읍 오성로 292-90,27,대중제,061-379-1111,https://www.mudeungsancc.com/,,
291,전남,전남,무안CC,최재훈 최영곤,전남 무안군 청계면 도대리 818,54,대중제,061-450-9000,http://www.muangc.co.kr/,,
292,전남,전남,백양우리CC,김승룡,전남 장성군 북이면 사거리 752-1,9,대중제,061-392-2300,https://www.woori-cc.co.kr/,,
293,전남,전남,베르힐컨트리클럽,문금환,전남 함평군 대동면 대동길 408,27,대중제,061-320-6000,https://www.verthillcc.co.kr/,,
294,전남,전남,보성CC,박지영,전남 보성군 조성면 대곡리 1117,18,대중제,061-804-1000,https://www.bosungcc.co.kr/,,
295,전남,전남,보성에덴CC,안병태,전남 보성군 보성읍 쾌상리 1385,9,대중제,061-852-2200,http://www.edencc.co.kr/,,
296,전남,전남,세이지우드 여수경도,김승건,전남 여수시 대경도길 111,27,대중제,061-660-1000,https://www.sagewood.co.kr/yeosu/main,,
297,전남,전남,순천CC,임종욱,전남 순천시 별량면 동화사길 85,9,대중제,061-720-0000,http://suncheoncc.co.kr/,,
298,전남,전남,순천부영CC,최양환,전남 순천시 해룡면 신대로 188,18,대중제,061-816-5533,https://scbooyoungcc.co.kr/,,
299,전남,전남,아크로CC,박현재,전남 영암군 금정면 안적동길 403,27,대중제,061-470-7700,http://www.acrogolf.co.kr/,,
300,전남,전남,엘리체CC,류채봉,전남 화순군 춘양면 장곡길 55,18,회원제,061-373-5511,https://www.elichecc.co.kr/,,
301,전남,전남,엘리체CC,류채봉,전남 함평군 학교면 서당매길 242,27,대중제,061-320-7700,http://hpelichecc.co.kr/,,
302,전남,전남,여수시티파크골프&호텔,김영한,전남 여수시 좌수영로 641,18,대중제,061-808-8000,http://www.citypark.co.kr/,,
303,전남,전남,옥과기안CC,김삼종,전남 곡성군 옥과면 소룡리 427-2,9,대중제,061-363-9700,https://www.kiancc.co.kr/,,
304,전남,전남,조아밸리CC,조우석,전남 화순군 도곡면 고인돌2로 450,9,대중제,061-370-9000,https://www.joavalleycc.co.kr/,,
305,전남,전남,죽향CC,한정수,전남 담양군 창평면 창평로 159,9,대중제,061-382-7200,https://www.jhcc.co.kr/,,
306,전남,전남,창평CC,김형준,전남 담양군 창평면 오강리 27-2,9,대중제,061-380-8800,https://cppc.co.kr/,,
307,전남,전남,천지CC,정유신,전남 함평군 함장로 889-11,9,대중제,061-322-0000,https://www.hpnabicc.co.kr/,,
308,전남,전남,클린밸리CC,조영희,전남 무안군 청계면 태봉길 33-100,18,대중제,061-452-3100,http://www.muancleanvalley.com/,,
309,전남,전남,파인힐스CC,이화영,전남 순천시 주암면 송강사길 99,27,대중제,061-750-9000,https://www.pinehills.co.kr/,,
310,전남,전남,포라이즌,김정수,전남 순천시 별량면 오실길 333,27,회원제,061-740-8000,,,
311,전남,전남,푸른솔 골프클럽,유순태,전남 장성군 동화면 임정로 155,27,대중제,061-399-6000,https://www.purunsolgc.co.kr/,,
312,전남,전남,해피니스CC,차재진,전남 나주시 다도면 다도로 171-60,18,대중제,061-330-5000,https://www.happinesscc.com/,,
313,전남,전남,해피니스CC,차재진,전남 나주시 다도면 다도로 171-60,18,회원제,061-330-5000,https://www.happinesscc.com/,,
314,전남,전남,화순CC,최창식,전남 화순군 도곡면 천태로 1000-151,27,회원제,061-373-9955,https://www.hwasuncc.co.kr/,,
315,전남,해남군,솔라시도CC,피앤지에이개발㈜,해남군 산이면 산이로 2247,18,대중제,061-530-9500,https://www.solaseadocc.com/,,
316,전남,해남군,오시아노골프클럽,한국관광공사,해남군 화원면 시아로 224,9,대중제,061-530-7700,https://www.pinebeachcc.co.kr/,,
317,전남,해남군,파인비치골프링크스,파인비치㈜,해남군 화원면 시아로 224,18,대중제,061-530-7700,https://www.pinebeachcc.co.kr,,
318,경남,거제시,거제드비치골프클럽,드비치골프클럽㈜최석분,거제시 장목면 거제북로 1573,18,회원제,055-736-3000,https://www.debeach.co.kr,,
319,경남,거제시,거제뷰컨트리클럽,㈜경암 김기만,거제시 거제면 두동로 259-80,18,대중제,055-639-2222,https://www.geojeview.co.kr,,
320,경남,거창군,거창친환경대중골프장,거창군수,거창군 가조면 우륵길 410-284,9,대중제,055-940-7978,https://www.geochang.go.kr/golf/,,
321,경남,거창군,클럽디거창,㈜이도 최정훈,거창군 신원면 덕산리 산 13번지,27,대중제,055-945-2222,https://www.clubd.com/geochang/index.do,,
322,경남,고성군,고성노벨컨트리클럽,고성관광개발㈜박광환 최경훈,고성군 회화면 회진로 567,27,회원제,055-670-8000,https://www.nobelcc.co.kr,,
323,경남,고성군,고성컨트리클럽,㈜ 쌍 마김기석,고성군 고성읍 월평3길 250,9,대중제,1666-0072,http://www.gosungcc.com,,
324,경남,김해시,가야컨트리클럽,가야개발㈜김영섭,김해시 인제로 495,45,회원제,055-337-0091,http://www.gayacc.com,,
325,경남,김해시,가야컨트리클럽,가야개발㈜김영섭,김해시 인제로 495,9,대중제,055-337-0091,http://www.gayacc.com,,
326,경남,김해시,김해상록컨트리클럽,공무원연금공단김동극,김해시 한림면 김해대로 974번길 198,18,대중제,055-340-1400,,,
327,경남,김해시,김해정산컨트리클럽,정산개발㈜김호철,김해시 주촌면 서부로 1637번길 299-194,27,회원제,055-338-8300,https://www.jeongsancc.co.kr,,
328,경남,김해시,포웰CC 김해,㈜메가비엠씨손주은 김기종,김해시 진례면 고모로 134번길 54-49,18,회원제,055-340-9000,https://www.4wellcc.com,,
329,경남,남해군,사우스케이프오너스클럽,㈜사우스케이프강경수,남해군 창선면 흥선로 1545,18,비회원제,1644-0280,https://www.southcape.co.kr,,
330,경남,남해군,아난티남해CC,㈜아난티이만규,남해군 남면 남서대로 1179번길 40-109,9,대중제,055-860-0100,https://ananti.kr/ko/namhae/golfclub/information,,
331,경남,남해군,아난티남해GC,㈜아난티이만규,남해군 남면 남서대로 1179번길 40-109,9,대중제,055-860-0100,https://ananti.kr/ko/namhae/golfclub/information,,
332,경남,밀양시,리더스컨트리클럽,㈜리더스컨트리클럽석은경 김현상,밀양시 활성로 455,27,대중제,055-350-3000,https://www.leaderscc.com,,
333,경남,밀양시,밀양노벨컨트리클럽,㈜밀양관광개발우정수,밀양시 단장면 단장로 946,18,대중제,055-359-8500,https://www.miryangnobelcc.co.kr,,
334,경남,밀양시,밀양에스파크골프리조트,밀양관광단지조성사업단㈜ 손호영,밀양시 단장면 미촌리 889,18,대중제,055-353-5513,https://www.s-parkresort.co.kr,,
335,경남,밀양시,밀양컨트리클럽,㈜밀양컨트리클럽임경주,밀양시 부북면 전사포리 832,9,대중제,055-350-3300,http://www.miryangcc.co.kr,,
336,경남,사천시,골프존카운티 사천,㈜지씨사천서상현,사천시 서포면 구송로 151,27,대중제,055-851-5001,https://www.golfzoncounty.com/golfclub/main?golfclubSeq=56,,
337,경남,사천시,삼삼컨트리클럽,삼삼레져개발㈜박 명식,사천시 축동면 화당산로 224,9,대중제,055-958-3333,https://www.samsamcc.co.kr/,,
338,경남,사천시,서경타니CC,타니골프엔리조트㈜ 윤철지,사천시 곤양면 흥신로 210,27,대중제,055-831-7000,http://www.tanicc.co.kr/,,
339,경남,사천시,서경타니CC,타니골프엔리조트㈜ 윤철지,사천시 곤양면 흥신로 210,9,대중제,055-831-7000,http://www.tanicc.co.kr/,,
340,경남,양산시,다이아몬드컨트리클럽,다이아몬드컨트리클럽㈜  문 호,양산시 상북면 공원로 305-391,18,대중제,055-392-0700,https://www.diamondcc.co.kr/,,
341,경남,양산시,동부산컨트리클럽,㈜동부산컨트리클럽최성필,양산시 매곡외산로 282,27,회원제,055-388-1315,http://www.dongpusancc.co.kr/,,
342,경남,양산시,양산동원로얄CC,㈜아시아드종합개발이대림,양산시 어실로 380-45,18,대중제,055-389-7000,https://www.dongwonroyalcc.co.kr/,,
343,경남,양산시,양산컨트리클럽,㈜양산컨트리클럽최병호,양산시 상북면 충렬로 687,27,대중제,055-379-0000,http://www.yangsancc.co.kr/,,
344,경남,양산시,에덴밸리컨트리클럽,신세계개발㈜문성필,양산시 원동면 어실로 910,18,회원제,055-379-8000,https://golf.edenvalley.co.kr/,,
345,경남,양산시,에이원컨트리클럽,에이원컨트리클럽㈜ 이경재,양산시 덕명로 190,27,회원제,055-371-3500,https://www.a-onecc.co.kr/,,
